nt,n_noise,hour0_train_time_sec,autoregressive_train_time_sec,total_train_time_sec,synth_accuracy,synth_balanced_accuracy,synth_f1,synth_roc_auc,real_accuracy,real_balanced_accuracy,real_f1,real_roc_auc,los_synth_accuracy,los_synth_macro_f1,los_synth_roc_auc,los_real_accuracy,los_real_macro_f1,los_real_roc_auc,avg_ks_stat,corr_frobenius,range_violation_pct,autocorr_distance,stay_length_ks,transition_mse_ratio,temporal_corr_drift,dcr_median,dcr_p05,dcr_exact_match_rate,dcr_baseline_protection,dcr_overfitting_protection,dcr_closer_to_training_pct,mia_roc_auc,mia_average_precision,mia_attacker_advantage,trajectory_seed_count,synth_accuracy_std,synth_accuracy_ci95,synth_balanced_accuracy_std,synth_balanced_accuracy_ci95,synth_f1_std,synth_f1_ci95,synth_roc_auc_std,synth_roc_auc_ci95,los_synth_accuracy_std,los_synth_accuracy_ci95,los_synth_macro_f1_std,los_synth_macro_f1_ci95,avg_ks_stat_std,avg_ks_stat_ci95,corr_frobenius_std,corr_frobenius_ci95,range_violation_pct_std,range_violation_pct_ci95,autocorr_distance_std,autocorr_distance_ci95,stay_length_ks_std,stay_length_ks_ci95,transition_mse_ratio_std,transition_mse_ratio_ci95,temporal_corr_drift_std,temporal_corr_drift_ci95,dcr_median_std,dcr_median_ci95,dcr_baseline_protection_std,dcr_baseline_protection_ci95,mia_roc_auc_std,mia_roc_auc_ci95,degenerate_flag,timestamp,error
1,1,101.5,97.6,199.1,0.8529,0.4959,0.0367,0.4674,0.9036,0.7078,0.4698,0.8214,0.4387,0.2361,0.3489,0.808,0.7726,0.8458,0.6284,18.3995,70.7,0.1716,0.9801,1.186,0.4442,19.761527,15.940721,0.0,1.0,1.0,0.048,0.594427,0.54606,0.0,3,0.096667,0.240135,0.007046,0.017504,0.063561,0.157896,0.087992,0.218584,0.049387,0.122685,0.057712,0.143364,0.000196,0.000487,0.005005,0.012432,0.029289,0.072757,0.005334,0.013249,0.00262,0.00651,0.001983,0.004926,0.008815,0.021897,1.595939,3.964533,0.0,0.0,0.007036,0.017477,0.0,2026-04-17T18:11:00.778365,
1,2,115.6,169.8,285.4,0.3347,0.5074,0.1669,0.5323,0.9031,0.7098,0.4713,0.814,0.4884,0.2835,0.2796,0.8076,0.7665,0.8382,0.6259,18.4563,71.49,0.1875,0.9801,1.0395,0.2977,20.564852,16.949821,0.0,1.0,1.0,0.033667,0.594911,0.546739,0.0,3,0.292705,0.72712,0.04222,0.10488,0.011463,0.028476,0.038473,0.095573,0.130028,0.323007,0.148305,0.368409,0.000207,0.000513,0.00762,0.018929,0.051307,0.127454,0.005261,0.013069,0.00262,0.00651,0.00337,0.008372,0.010114,0.025124,1.727653,4.291727,0.0,0.0,0.00756,0.018779,0.0,2026-04-17T18:29:56.152671,
1,3,129.8,244.8,374.6,0.5476,0.5215,0.14,0.4807,0.9027,0.7095,0.4693,0.8164,0.3889,0.2166,0.2221,0.8067,0.7684,0.8389,0.6265,18.4223,71.76,0.1976,0.9801,1.1698,0.3689,20.333774,16.735415,0.0,1.0,1.0,0.038833,0.595258,0.547109,0.0,3,0.375634,0.933127,0.070847,0.175994,0.082192,0.204176,0.098909,0.245703,0.07436,0.184722,0.046413,0.115296,0.000217,0.00054,0.000786,0.001953,0.039814,0.098903,0.004342,0.010785,0.00262,0.00651,0.003406,0.008461,0.007301,0.018136,1.701405,4.226523,0.0,0.0,0.008065,0.020034,0.0,2026-04-17T18:55:54.090670,
1,5,152.6,386.5,539.1,0.4502,0.5395,0.1844,0.5384,0.9027,0.7118,0.4725,0.8112,0.3622,0.2687,0.6864,0.8067,0.7625,0.841,0.6281,18.3923,71.49,0.2107,0.9801,1.2812,0.3116,20.623425,17.004722,0.0,1.0,1.0,0.039333,0.594507,0.54635,0.0,3,0.350508,0.87071,0.052135,0.129511,0.023367,0.058048,0.063809,0.158511,0.18362,0.456136,0.108714,0.27006,0.000167,0.000415,0.007413,0.018414,0.049062,0.121877,0.005458,0.01356,0.00262,0.00651,0.004393,0.010913,0.006364,0.01581,1.727888,4.292313,0.0,0.0,0.00683,0.016966,0.0,2026-04-17T19:18:08.492244,
1,8,192.6,603.7,796.2,0.1249,0.4824,0.1595,0.5234,0.9049,0.7085,0.4737,0.8103,0.424,0.2665,0.4548,0.8053,0.7702,0.8414,0.6273,18.3684,71.46,0.1998,0.9801,1.3545,0.3836,20.414067,16.925716,0.0,1.0,1.0,0.036333,0.594955,0.546733,0.0,3,0.038235,0.094981,0.022501,0.055896,0.004012,0.009966,0.043092,0.107047,0.19117,0.474891,0.156266,0.388187,0.000209,0.000519,0.006733,0.016726,0.03319,0.082449,0.005709,0.014183,0.00262,0.00651,0.003674,0.009127,0.008273,0.020552,1.723468,4.281333,0.0,0.0,0.007268,0.018055,0.0,2026-04-17T19:45:03.768221,
1,13,260.7,972.8,1233.4,0.6151,0.5202,0.1182,0.4788,0.9027,0.7027,0.4609,0.8077,0.34,0.2441,0.4027,0.8076,0.7721,0.838,0.6281,18.3019,71.41,0.1943,0.9801,1.3535,0.3404,20.529648,16.985903,0.0,1.0,1.0,0.038833,0.594906,0.546648,0.0,3,0.270076,0.670906,0.059529,0.147879,0.107561,0.267197,0.094065,0.233672,0.124072,0.308211,0.112056,0.278364,0.000199,0.000495,0.002147,0.005333,0.031947,0.079362,0.005238,0.013012,0.00262,0.00651,0.000469,0.001166,0.006823,0.016949,1.730598,4.299043,0.0,0.0,0.007543,0.018737,0.0,2026-04-17T20:19:03.362688,
1,21,371.6,1561.2,1932.8,0.3213,0.5368,0.1809,0.5707,0.9044,0.7128,0.4777,0.8139,0.3284,0.185,0.6762,0.8098,0.7731,0.8364,0.6263,18.4072,72.13,0.2131,0.9801,1.3432,0.3456,20.527286,17.023172,0.0,1.0,1.0,0.036667,0.594952,0.546979,0.0,3,0.232,0.57632,0.064575,0.160412,0.026764,0.066486,0.059824,0.14861,0.209729,0.520996,0.092685,0.230242,0.000214,0.000533,0.008771,0.021788,0.051853,0.128809,0.004925,0.012234,0.00262,0.00651,0.002049,0.005091,0.009533,0.023682,1.730455,4.298687,0.0,0.0,0.007347,0.018251,0.0,2026-04-17T21:05:05.329740,
1,34,552.0,2525.5,3077.5,0.2742,0.5178,0.1698,0.5547,0.9049,0.7108,0.4762,0.8043,0.3724,0.2588,0.5478,0.808,0.7637,0.839,0.6283,18.4009,71.82,0.1759,0.9801,1.3142,0.438,20.459986,16.937669,0.0,1.0,1.0,0.038667,0.595093,0.546739,0.0,3,0.164116,0.407686,0.027332,0.067895,0.006278,0.015595,0.055968,0.139032,0.096888,0.240683,0.09457,0.234925,0.000206,0.000511,0.009592,0.023827,0.049775,0.123649,0.003774,0.009375,0.00262,0.00651,0.003651,0.00907,0.00959,0.023823,1.71066,4.249514,0.0,0.0,0.007702,0.019133,0.0,2026-04-17T22:10:38.334881,
2,1,105.4,112.4,217.8,0.2582,0.5349,0.182,0.5263,0.9031,0.7121,0.474,0.8157,0.3747,0.2357,0.4551,0.8111,0.7734,0.8346,0.6423,17.7196,71.69,0.1587,0.9801,1.4997,0.3023,20.304315,11.065707,0.0,1.0,1.0,0.0755,0.595096,0.547298,0.0,3,0.275243,0.683742,0.059245,0.147172,0.023726,0.05894,0.085639,0.21274,0.113357,0.281594,0.073429,0.182409,0.000131,0.000325,0.007555,0.018768,0.031794,0.078981,0.005298,0.01316,0.00262,0.00651,0.004462,0.011083,0.012374,0.030739,1.713622,4.256874,0.0,0.0,0.007916,0.019664,0.0,2026-04-17T22:29:22.621027,
2,2,121.9,201.8,323.7,0.0969,0.4882,0.1624,0.4834,0.9036,0.7055,0.4664,0.8162,0.3698,0.2963,0.581,0.8098,0.7742,0.8329,0.6434,17.577,72.28,0.1617,0.9801,1.1305,0.3353,20.299226,13.361577,0.0,1.0,1.0,0.071333,0.595591,0.547547,0.0,3,0.007698,0.019123,0.008458,0.021012,0.003169,0.007872,0.033501,0.08322,0.209687,0.520891,0.163263,0.405568,0.000111,0.000276,0.009029,0.02243,0.04219,0.104806,0.005312,0.013197,0.00262,0.00651,0.00845,0.020991,0.008474,0.02105,1.713787,4.257283,0.0,0.0,0.007633,0.01896,0.0,2026-04-17T22:50:18.840136,
2,3,138.4,291.9,430.3,0.4902,0.5344,0.17,0.5545,0.9009,0.7086,0.4675,0.8198,0.4107,0.1904,0.205,0.8076,0.7682,0.839,0.6422,17.6489,71.26,0.1559,0.9801,1.1171,0.3626,20.266892,11.022046,0.0,1.0,1.0,0.074667,0.595181,0.54725,0.0,3,0.39627,0.984389,0.031946,0.079357,0.02309,0.057359,0.055013,0.13666,0.155011,0.385069,0.055165,0.137038,0.000165,0.00041,0.002216,0.005506,0.049648,0.123332,0.004185,0.010395,0.00262,0.00651,0.004339,0.01078,0.014565,0.036182,1.696376,4.214031,0.0,0.0,0.007504,0.01864,0.0,2026-04-17T23:12:50.503396,
2,5,171.8,472.3,644.1,0.1129,0.494,0.1639,0.4937,0.9013,0.7134,0.4736,0.8226,0.4058,0.256,0.4045,0.8067,0.7662,0.8445,0.6413,17.7356,71.65,0.1579,0.9801,1.235,0.3472,20.297015,18.225756,0.0,1.0,1.0,0.068667,0.595775,0.547345,0.0,3,0.025797,0.064083,0.010569,0.026256,0.009292,0.023082,0.0322,0.07999,0.274072,0.680832,0.186772,0.463967,0.000124,0.000309,0.016364,0.040651,0.052731,0.13099,0.007195,0.017873,0.00262,0.00651,0.007645,0.018991,0.00911,0.02263,1.716295,4.263512,0.0,0.0,0.006938,0.017236,0.0,2026-04-17T23:39:02.788248,
2,8,221.9,742.0,963.9,0.2782,0.5106,0.1679,0.5521,0.9004,0.7017,0.4578,0.817,0.3138,0.2205,0.4966,0.8058,0.7673,0.8426,0.6418,17.5856,71.5,0.1732,0.9801,1.2732,0.319,20.286534,12.975625,0.0,1.0,1.0,0.073167,0.595184,0.546632,0.0,3,0.196387,0.487851,0.043246,0.107429,0.011742,0.029169,0.054581,0.135586,0.20562,0.510789,0.123945,0.307897,0.00015,0.000374,0.020469,0.050849,0.028373,0.070482,0.005449,0.013535,0.00262,0.00651,0.00197,0.004894,0.009925,0.024656,1.706887,4.240142,0.0,0.0,0.00779,0.019351,0.0,2026-04-18T00:10:56.016650,
2,13,307.4,1192.5,1499.9,0.1049,0.491,0.1629,0.5047,0.9013,0.7065,0.465,0.8204,0.38,0.2471,0.4287,0.8089,0.7733,0.8387,0.6413,17.6671,71.76,0.1596,0.9801,1.2392,0.3278,20.323553,17.706091,0.0,1.0,1.0,0.0705,0.594744,0.54624,0.0,3,0.02143,0.053236,0.019462,0.048346,0.001135,0.002821,0.038063,0.094555,0.064166,0.159398,0.020815,0.051707,0.000144,0.000357,0.02575,0.063966,0.013449,0.033409,0.003913,0.009721,0.00262,0.00651,0.005627,0.013979,0.009221,0.022906,1.717757,4.267144,0.0,0.0,0.007014,0.017424,0.0,2026-04-18T00:51:46.782982,
2,21,444.4,1919.7,2364.1,0.0987,0.5,0.1661,0.4958,0.9018,0.7066,0.4651,0.8105,0.2498,0.2004,0.5357,0.8102,0.7735,0.8407,0.642,17.6495,71.84,0.1758,0.9801,1.0419,0.2852,20.278172,10.983944,0.0,1.0,1.0,0.0785,0.595364,0.547318,0.0,3,0.00811,0.020147,0.001907,0.004738,0.005368,0.013334,0.02745,0.068188,0.271628,0.674762,0.19076,0.473874,0.000141,0.00035,0.008948,0.022227,0.03292,0.081779,0.004755,0.011813,0.00262,0.00651,0.004899,0.012169,0.011089,0.027546,1.709893,4.247609,0.0,0.0,0.008025,0.019936,0.0,2026-04-18T01:46:37.080333,
2,34,667.9,3118.5,3786.5,0.1978,0.5093,0.1685,0.5157,0.8996,0.7035,0.4575,0.8158,0.308,0.1757,0.4201,0.8116,0.7703,0.8392,0.6419,17.6526,71.37,0.1592,0.9801,1.1671,0.307,20.316421,16.087322,0.0,1.0,1.0,0.068667,0.594932,0.546781,0.0,3,0.170804,0.4243,0.032044,0.079602,0.005416,0.013454,0.063583,0.157949,0.235185,0.584232,0.12667,0.314666,0.00017,0.000421,0.006123,0.01521,0.037995,0.094384,0.005573,0.013844,0.00262,0.00651,0.003321,0.008249,0.009779,0.024293,1.716199,4.263275,0.0,0.0,0.007904,0.019634,0.0,2026-04-18T03:04:55.002080,
3,1,105.4,113.8,219.2,0.2582,0.5375,0.1839,0.5796,0.9018,0.7068,0.4662,0.8247,0.3458,0.1856,0.1333,0.8058,0.763,0.8452,0.624,16.2918,69.1,0.1696,0.9801,2.3372,0.3665,20.175654,10.351196,0.0,1.0,1.0,0.0915,0.595922,0.547694,0.0,3,0.274166,0.681065,0.068279,0.169615,0.028198,0.070047,0.075757,0.188192,0.18934,0.470346,0.080791,0.200697,0.000168,0.000418,0.017703,0.043976,0.043763,0.108714,0.004181,0.010387,0.00262,0.00651,0.008188,0.020341,0.009652,0.023976,1.711919,4.252641,0.0,0.0,0.007512,0.018662,0.0,2026-04-18T03:25:35.330001,
3,2,121.7,204.3,326.0,0.5018,0.5604,0.1901,0.5938,0.9004,0.7104,0.4669,0.8272,0.4098,0.2737,0.3897,0.808,0.7743,0.8407,0.6167,16.6812,65.34,0.0972,0.9801,3.6044,0.484,20.171508,10.338917,0.0,1.0,1.0,0.089667,0.59672,0.54875,0.0,3,0.13092,0.325224,0.028937,0.071884,0.018862,0.046856,0.02645,0.065706,0.13811,0.343084,0.082641,0.205291,3.1e-05,7.6e-05,0.029465,0.073196,0.038815,0.096423,0.003838,0.009534,0.00262,0.00651,0.006463,0.016055,0.003651,0.00907,1.717004,4.265274,0.0,0.0,0.008246,0.020484,0.0,2026-04-18T03:47:40.663453,
3,3,138.6,293.5,432.2,0.7924,0.581,0.2182,0.5767,0.9018,0.7065,0.4644,0.808,0.3147,0.2469,0.299,0.8067,0.7685,0.8393,0.6178,16.5338,65.65,0.111,0.9801,3.4628,0.4731,20.141887,10.103547,0.0,1.0,1.0,0.097167,0.595941,0.547837,0.0,3,0.086259,0.214279,0.04438,0.110247,0.03657,0.090844,0.024719,0.061405,0.064594,0.160462,0.078913,0.196031,2.3e-05,5.6e-05,0.008413,0.020899,0.043415,0.10785,0.003414,0.008481,0.00262,0.00651,0.005069,0.012592,0.006466,0.016062,1.708265,4.243566,0.0,0.0,0.008831,0.021936,0.0,2026-04-18T04:11:38.180661,
3,5,172.2,474.4,646.6,0.1071,0.4978,0.1653,0.4993,0.9004,0.7106,0.4675,0.8308,0.464,0.267,0.2742,0.8053,0.7637,0.8459,0.6284,16.6348,70.62,0.1556,0.9801,2.1571,0.2825,20.190282,11.4971,0.0,1.0,1.0,0.087,0.59603,0.54857,0.0,3,0.01873,0.046528,0.003455,0.008582,0.006812,0.016921,0.033731,0.083793,0.212804,0.528633,0.162404,0.403434,6.3e-05,0.000156,0.004112,0.010215,0.077737,0.19311,0.00514,0.012769,0.00262,0.00651,0.009238,0.022949,0.006478,0.016092,1.711007,4.250377,0.0,0.0,0.009472,0.023529,0.0,2026-04-18T04:38:45.219622,
3,8,223.0,748.7,971.7,0.5191,0.5037,0.1365,0.5626,0.9009,0.7175,0.4786,0.8218,0.4893,0.2262,0.144,0.8071,0.7737,0.838,0.6205,16.7808,65.89,0.1063,0.9801,3.1573,0.4906,20.128652,10.23765,0.0,1.0,1.0,0.091,0.595273,0.547374,0.0,3,0.371819,0.92365,0.05372,0.133448,0.051614,0.128217,0.024832,0.061686,0.020177,0.050122,0.006687,0.016611,6.5e-05,0.000162,0.004804,0.011935,0.012081,0.03001,0.002666,0.006622,0.00262,0.00651,0.007953,0.019755,0.005124,0.012728,1.697647,4.217189,0.0,0.0,0.008995,0.022345,0.0,2026-04-18T05:11:26.883236,
3,13,309.0,1200.0,1509.0,0.4724,0.4989,0.1096,0.5227,0.9004,0.7127,0.4691,0.825,0.3009,0.2238,0.4612,0.808,0.7765,0.8378,0.6188,16.7588,66.67,0.1027,0.9801,3.2086,0.4589,20.118916,10.801804,0.0,1.0,1.0,0.086333,0.595399,0.547567,0.0,3,0.38547,0.957561,0.002746,0.006821,0.094952,0.235874,0.041433,0.102926,0.096759,0.240364,0.073831,0.183406,6.5e-05,0.000161,0.008802,0.021866,0.041479,0.10304,0.003909,0.009709,0.00262,0.00651,0.004695,0.011664,0.004089,0.010158,1.701539,4.226858,0.0,0.0,0.008155,0.020258,0.0,2026-04-18T05:52:55.942609,
3,21,447.8,1935.1,2382.9,0.5853,0.4837,0.0876,0.4919,0.9031,0.7076,0.4714,0.8299,0.2138,0.1646,0.3133,0.8071,0.7653,0.8333,0.6198,16.7844,66.01,0.1018,0.9801,2.9968,0.4744,20.124597,11.058105,0.0,1.0,1.0,0.0865,0.59521,0.547399,0.0,3,0.38068,0.945662,0.018587,0.046174,0.080676,0.200411,0.042473,0.105508,0.073591,0.182811,0.054914,0.136414,6.1e-05,0.000152,0.006421,0.01595,0.021587,0.053624,0.003536,0.008785,0.00262,0.00651,0.010795,0.026816,0.003218,0.007993,1.70509,4.235678,0.0,0.0,0.007269,0.018057,0.0,2026-04-18T06:49:19.560691,
3,34,674.2,3148.5,3822.7,0.2409,0.4969,0.162,0.5683,0.9022,0.7071,0.4699,0.8213,0.3289,0.228,0.4127,0.8049,0.7633,0.8445,0.6212,16.7083,67.43,0.1088,0.9801,2.6041,0.4268,20.143526,10.311011,0.0,1.0,1.0,0.091,0.59608,0.548886,0.0,3,0.051646,0.128295,0.026744,0.066436,0.003971,0.009865,0.041603,0.103348,0.17822,0.442723,0.099966,0.248329,6.9e-05,0.000172,0.013583,0.033743,0.028827,0.071609,0.002018,0.005012,0.00262,0.00651,0.002943,0.007312,0.008116,0.020162,1.701102,4.225771,0.0,0.0,0.009137,0.022698,0.0,2026-04-18T08:09:32.453771,
5,1,105.7,115.3,221.0,0.232,0.526,0.1764,0.6298,0.9027,0.7074,0.4699,0.8231,0.4356,0.2668,0.2696,0.8084,0.7686,0.8374,0.6193,15.4019,67.38,0.1663,0.9801,4.2127,0.3606,19.983496,9.251407,0.0,1.0,1.0,0.133,0.596504,0.548633,0.0,3,0.208568,0.518111,0.059195,0.147047,0.019198,0.047691,0.041454,0.102978,0.072164,0.179266,0.051061,0.126842,0.000175,0.000436,0.007741,0.019229,0.063465,0.157656,0.003458,0.00859,0.00262,0.00651,0.005532,0.013743,0.01173,0.02914,1.720853,4.274836,0.0,0.0,0.007538,0.018726,0.0,2026-04-18T08:32:45.328064,
5,2,122.7,205.8,328.5,0.4009,0.524,0.1724,0.6037,0.9018,0.7089,0.4685,0.8294,0.316,0.2586,0.6198,0.8053,0.7721,0.8379,0.6105,15.7421,59.26,0.1464,0.9801,6.3965,0.5295,20.036164,9.502325,0.0,1.0,1.0,0.1115,0.596419,0.547666,0.0,3,0.183101,0.454848,0.037606,0.093417,0.012562,0.031205,0.023746,0.058989,0.190004,0.471995,0.136889,0.340052,2.5e-05,6.3e-05,0.009986,0.024807,0.070488,0.175102,0.007129,0.01771,0.00262,0.00651,0.027186,0.067533,0.005802,0.014414,1.737444,4.31605,0.0,0.0,0.007319,0.018183,0.0,2026-04-18T08:57:53.646564,
5,3,139.7,297.7,437.4,0.4253,0.5561,0.1855,0.6048,0.9,0.7193,0.4794,0.8249,0.3133,0.23,0.4042,0.8049,0.7673,0.8372,0.6163,15.714,60.61,0.1428,0.9801,6.2013,0.5,20.046671,9.718234,0.0,1.0,1.0,0.103,0.597727,0.549015,0.0,3,0.085541,0.212497,0.027934,0.069391,0.014626,0.036332,0.020374,0.050611,0.125737,0.312348,0.044938,0.111632,6.3e-05,0.000156,0.010048,0.024961,0.011392,0.028298,0.00595,0.01478,0.00262,0.00651,0.016552,0.041117,0.006009,0.014927,1.719104,4.270491,0.0,0.0,0.007462,0.018536,0.0,2026-04-18T09:24:36.917945,
5,5,175.4,482.5,657.9,0.308,0.5496,0.1852,0.6007,0.8991,0.7163,0.4729,0.8233,0.3471,0.1701,0.1132,0.8062,0.7691,0.8377,0.6225,15.5712,69.42,0.1478,0.9801,3.3783,0.2836,20.041558,9.724078,0.0,1.0,1.0,0.113667,0.596253,0.54791,0.0,3,0.1951,0.484655,0.058105,0.144341,0.030533,0.075849,0.057109,0.141866,0.198762,0.493752,0.077098,0.191522,0.000129,0.00032,0.004261,0.010584,0.081059,0.201361,0.004804,0.011935,0.00262,0.00651,0.013253,0.032923,0.00728,0.018085,1.70248,4.229196,0.0,0.0,0.01019,0.025313,0.0,2026-04-18T09:55:05.665836,
5,8,228.1,762.3,990.4,0.4138,0.5439,0.187,0.6079,0.9027,0.7139,0.4743,0.8297,0.3862,0.2941,0.5216,0.8058,0.7715,0.8422,0.6172,15.7793,60.08,0.1442,0.9801,5.828,0.503,20.034341,9.368811,0.0,1.0,1.0,0.123333,0.595889,0.546648,0.0,3,0.210845,0.523769,0.079181,0.196696,0.037937,0.09424,0.032746,0.081345,0.081337,0.202052,0.04492,0.111586,0.0001,0.000249,0.004879,0.012121,0.023292,0.05786,0.007097,0.01763,0.00262,0.00651,0.016822,0.041789,0.004835,0.012011,1.733316,4.305797,0.0,0.0,0.009177,0.022797,0.0,2026-04-18T10:31:11.439879,
5,13,318.9,1226.2,1545.0,0.4391,0.5207,0.1724,0.5761,0.9004,0.7261,0.4863,0.8152,0.4116,0.244,0.4924,0.8049,0.7619,0.837,0.6148,15.7552,61.48,0.1646,0.9801,5.9043,0.4656,20.023086,9.573179,0.0,1.0,1.0,0.117,0.596257,0.547667,0.0,3,0.26111,0.648633,0.038505,0.095652,0.016015,0.039784,0.026558,0.065974,0.032286,0.080202,0.028663,0.071203,0.00012,0.000298,0.018281,0.045412,0.030814,0.076547,0.006865,0.017053,0.00262,0.00651,0.022875,0.056824,0.007082,0.017592,1.727251,4.290729,0.0,0.0,0.007021,0.017441,0.0,2026-04-18T11:16:17.599562,
5,21,466.3,1994.3,2460.6,0.5884,0.5662,0.1966,0.5879,0.9022,0.7201,0.4805,0.8285,0.3667,0.2146,0.2301,0.8053,0.7692,0.8379,0.6152,15.8427,62.17,0.1703,0.9801,5.6049,0.4638,20.046118,9.477722,0.0,1.0,1.0,0.124667,0.596608,0.548247,0.0,3,0.154058,0.382702,0.028587,0.071013,0.025006,0.062119,0.034136,0.084799,0.085614,0.212677,0.055025,0.136689,7.4e-05,0.000183,0.006154,0.015287,0.05511,0.136901,0.007977,0.019817,0.00262,0.00651,0.018363,0.045616,0.005367,0.013332,1.731911,4.302307,0.0,0.0,0.009901,0.024596,0.0,2026-04-18T12:16:46.883407,
5,34,704.4,3278.6,3983.1,0.3653,0.5252,0.1707,0.5992,0.9009,0.7107,0.471,0.8256,0.3591,0.2536,0.515,0.8062,0.7704,0.8448,0.6174,15.7985,61.22,0.1406,0.9801,5.6203,0.5033,20.041035,9.564433,0.0,1.0,1.0,0.115167,0.596948,0.549118,0.0,3,0.038736,0.096224,0.005387,0.013381,0.008036,0.019963,0.023332,0.057961,0.096151,0.238853,0.043484,0.10802,7.4e-05,0.000183,0.01643,0.040815,0.043267,0.107482,0.007486,0.018596,0.00262,0.00651,0.014848,0.036885,0.007279,0.018081,1.719493,4.271456,0.0,0.0,0.009642,0.023952,0.0,2026-04-18T13:42:48.302830,
